logAge,logL,logTe
9.0,0.125,3.7861
9.0,0.16899999999999998,3.7906
9.0,0.22399999999999998,3.7964
9.0,0.32,3.8062
9.0,0.41100000000000003,3.8153
9.0,0.415,3.8157
9.0,0.49700000000000005,3.824
9.0,0.514,3.8258
9.0,0.58,3.8327
9.0,0.6579999999999999,3.8417
9.0,0.7190000000000001,3.8495
9.0,0.7340000000000001,3.8514
9.0,0.789,3.8591
9.0,0.8059999999999999,3.8613
9.0,0.8759999999999999,3.8703
9.0,0.932,3.8768
9.0,0.943,3.878
9.0,0.9790000000000001,3.8815
9.0,1.0090000000000001,3.8841
9.0,1.0270000000000001,3.8856
9.0,1.074,3.889
9.0,1.112,3.8916
9.0,1.138,3.8929
9.0,1.159,3.894
9.0,1.197,3.8951
9.0,1.202,3.8952
9.0,1.2329999999999999,3.8956
9.0,1.266,3.8954
9.0,1.273,3.8953
9.0,1.307,3.8942
9.0,1.329,3.8927
9.0,1.348,3.8914
9.0,1.386,3.8872
9.0,1.391,3.8863
9.0,1.416,3.8823
9.0,1.4480000000000002,3.8752
9.0,1.4509999999999998,3.8743
9.0,1.47,3.8685
9.0,1.494,3.8603
9.0,1.508,3.8545
9.0,1.517,3.8506
9.0,1.5330000000000001,3.843
9.0,1.555,3.8357
9.0,1.567,3.8332
9.0,1.581,3.8373
9.0,1.588,3.8392
9.0,1.61,3.8485
9.0,1.629,3.8584
9.0,1.6480000000000001,3.8683
9.0,1.6680000000000001,3.8782
9.0,1.6909999999999998,3.8878
9.0,1.714,3.8969
9.0,1.725,3.9018
9.0,1.7009999999999998,3.8969
9.0,1.6740000000000002,3.8894
9.0,1.6569999999999998,3.8804
9.0,1.651,3.8688
9.0,1.6569999999999998,3.8572
9.0,1.666,3.8456
9.0,1.67,3.8339
9.0,1.671,3.8226
9.0,1.67,3.8118
9.0,1.666,3.8018
9.0,1.659,3.7922
9.0,1.6469999999999998,3.7824
9.0,1.6269999999999998,3.7719
9.0,1.605,3.7636
9.0,1.575,3.7551
9.0,1.544,3.7477
9.0,1.514,3.7416
9.0,1.479,3.7339
9.0,1.456,3.7283
9.0,1.45,3.7198
9.0,1.472,3.711
9.0,1.51,3.7052
9.0,1.546,3.7013
9.0,1.585,3.6978
9.0,1.624,3.6947
9.0,1.663,3.6917
9.0,1.702,3.6889
9.0,1.7409999999999999,3.6862
9.0,1.78,3.6835
9.0,1.808,3.6816
9.0,1.818,3.681
9.0,1.857,3.6784
9.0,1.867,3.6778
9.0,1.8769999999999998,3.6771
9.0,1.9169999999999998,3.6745
9.0,1.956,3.672
9.0,1.995,3.6693
9.0,2.0340000000000003,3.6666
9.0,2.073,3.6639
9.0,2.1109999999999998,3.6611
9.0,2.161,3.6575
9.0,2.204,3.6543
9.0,2.242,3.6514
9.0,2.287,3.6481
9.0,2.33,3.6448
9.0,2.378,3.6411
9.0,2.423,3.6376
9.0,2.464,3.6345
9.0,2.485,3.6328
9.0,2.465,3.6344
9.0,2.423,3.6377
9.0,2.381,3.6411
9.0,2.331,3.645
9.0,2.28,3.6488
9.0,2.231,3.6526
9.0,2.182,3.6564
9.0,2.133,3.66
9.0,2.085,3.6636
9.0,2.039,3.667
9.0,1.996,3.6701
9.0,1.956,3.6731
9.0,1.915,3.6761
9.0,1.87,3.6793
9.0,1.831,3.6822
9.0,1.795,3.6847
9.0,1.745,3.6884
9.0,1.702,3.6916
9.0,1.661,3.6948
9.0,1.62,3.6983
9.0,1.607,3.6995
9.0,1.6119999999999999,3.6994
9.0,1.64,3.6999
9.0,1.6680000000000001,3.7002
9.0,1.714,3.7003
9.0,1.716,3.7003
9.0,1.734,3.7002
9.0,1.7719999999999998,3.6996
9.0,1.81,3.6984
9.0,1.8230000000000002,3.6979
9.0,1.8359999999999999,3.6972
9.0,1.8840000000000001,3.6933
9.0,1.905,3.6923
9.0,1.9469999999999998,3.6875
9.0,1.993,3.6829
9.0,2.0380000000000003,3.6787
9.0,2.082,3.6749
9.0,2.126,3.6711
9.0,2.1590000000000003,3.6682
9.0,2.1630000000000003,3.6679
9.0,2.18,3.6666
9.0,2.174,3.6672
9.0,2.149,3.6693
9.0,2.173,3.6673
9.0,2.1959999999999997,3.6655
9.0,2.234,3.6624
9.0,2.278,3.6588
9.0,2.294,3.6575
9.0,2.307,3.6565
9.0,2.347,3.6532
9.0,2.39,3.6497
9.0,2.449,3.6448
9.0,2.503,3.6403
9.0,2.546,3.6369
9.0,2.5869999999999997,3.6306
9.0,2.6260000000000003,3.6275
9.0,2.6639999999999997,3.6241
9.0,2.7,3.6207
9.0,2.736,3.6176
9.0,2.7710000000000004,3.6147
9.0,2.8080000000000003,3.6117
9.0,2.853,3.608
9.0,2.92,3.6022
9.0,2.9810000000000003,3.5969
10.0,-3.4210000000000003,3.3635
10.0,-3.237,3.3896
10.0,-3.1039999999999996,3.4072
10.0,-2.971,3.4249
10.0,-2.7880000000000003,3.4448
10.0,-2.727,3.4506
10.0,-2.6460000000000004,3.4584
10.0,-2.427,3.4771
10.0,-2.214,3.4934
10.0,-2.049,3.5038
10.0,-1.901,3.5125
10.0,-1.848,3.5165
10.0,-1.757,3.5236
10.0,-1.6059999999999999,3.536
10.0,-1.446,3.5517
10.0,-1.2670000000000001,3.5721
10.0,-1.092,3.5975
10.0,-0.912,3.6284
10.0,-0.89,3.6324
10.0,-0.736,3.6597
10.0,-0.6709999999999999,3.6711
10.0,-0.596,3.6837
10.0,-0.564,3.6891
10.0,-0.5429999999999999,3.6922
10.0,-0.479,3.7013
10.0,-0.42100000000000004,3.7095
10.0,-0.39799999999999996,3.7125
10.0,-0.366,3.7167
10.0,-0.309,3.724
10.0,-0.257,3.7302
10.0,-0.23,3.7334
10.0,-0.17800000000000002,3.7389
10.0,-0.12300000000000001,3.7443
10.0,-0.07200000000000001,3.749
10.0,-0.052000000000000005,3.7507
10.0,-0.013999999999999999,3.7536
10.0,0.05,3.7578
10.0,0.107,3.7607
10.0,0.13699999999999998,3.7619
10.0,0.156,3.7626
10.0,0.163,3.7628
10.0,0.204,3.7635
10.0,0.237,3.7635
10.0,0.276,3.7628
10.0,0.303,3.7618
10.0,0.311,3.7612
10.0,0.348,3.7575
10.0,0.363,3.7538
10.0,0.379,3.7497
10.0,0.391,3.7403
10.0,0.391,3.7297
10.0,0.391,3.7197
10.0,0.402,3.71
10.0,0.433,3.702
10.0,0.45799999999999996,3.6985
10.0,0.509,3.6951
10.0,0.56,3.6928
10.0,0.601,3.6915
10.0,0.645,3.6903
10.0,0.6890000000000001,3.6892
10.0,0.733,3.6881
10.0,0.773,3.6871
10.0,0.815,3.686
10.0,0.861,3.6847
10.0,0.903,3.6834
10.0,0.9440000000000001,3.6822
10.0,0.9840000000000001,3.6809
10.0,1.0270000000000001,3.6793
10.0,1.079,3.6774
10.0,1.121,3.6757
10.0,1.161,3.6741
10.0,1.2,3.6724
10.0,1.252,3.6701
10.0,1.3019999999999998,3.6678
10.0,1.3519999999999999,3.6654
10.0,1.402,3.6629
10.0,1.45,3.6604
10.0,1.495,3.6581
10.0,1.5290000000000001,3.6564
10.0,1.5,3.6584
10.0,1.459,3.661
10.0,1.4569999999999999,3.6612
10.0,1.5030000000000001,3.6586
10.0,1.55,3.656
10.0,1.598,3.6532
10.0,1.645,3.6506
10.0,1.692,3.6477
10.0,1.7380000000000002,3.645
10.0,1.784,3.6421
10.0,1.83,3.6392
10.0,1.875,3.6364
10.0,1.921,3.6334
10.0,1.965,3.6305
10.0,2.009,3.6275
10.0,2.0540000000000003,3.6244
10.0,2.097,3.6214
10.0,2.142,3.6183
10.0,2.184,3.6154
10.0,2.227,3.6122
10.0,2.27,3.6091
10.0,2.311,3.606
10.0,2.353,3.6028
10.0,2.394,3.5996
10.0,2.435,3.5964
10.0,2.476,3.5931
10.0,2.515,3.5899
10.0,2.5540000000000003,3.5866
10.0,2.594,3.5833
10.0,2.6319999999999997,3.58
10.0,2.6689999999999996,3.5766
10.0,2.707,3.5732
10.0,2.745,3.5697
10.0,2.79,3.5653
10.0,2.8339999999999996,3.5611
10.0,2.877,3.5568
10.0,2.92,3.5524
10.0,2.9619999999999997,3.5479
10.0,3.003,3.5434
10.0,3.0439999999999996,3.5389
10.0,3.0839999999999996,3.5344
10.0,3.1239999999999997,3.5299
10.0,3.162,3.5253
10.0,3.2,3.5207
10.0,3.237,3.516
10.0,3.2739999999999996,3.5114
10.0,3.3089999999999997,3.5067
10.0,3.343,3.5022
10.0,3.378,3.4976
10.0,3.403,3.4943
