Temp,SF,ChiSqr
27000,4.425492265785818e-25,193021.34930491794
12000,1.0860978467555232e-23,227972.93407463862
15000,2.192377162055653e-24,245420.69247148943
18000,2.192377162055653e-24,257144.18926332516
22000,4.425492265785818e-25,258668.77082317855
35000,8.933217392287712e-26,263760.74067521474
09000,5.380500003115066e-23,273762.90956475446
60000,4.0135720267505816e-26,305879.0051030799
28000,1.9883129652585536e-25,341047.00136364734
40000,1.9883129652585536e-25,347162.07143842126
23000,4.425492265785818e-25,378485.7184071683
19000,9.8500498345758e-25,410741.72085553687
08000,2.9390491185030614e-21,419808.49560066004
24000,9.8500498345758e-25,434541.76099714154
29000,1.9883129652585536e-25,448187.7666379239
70000,4.0135720267505816e-26,461561.61443928326
11000,2.4173848406597176e-23,489517.5391423199
13000,1.0860978467555232e-23,497965.1987514012
16000,4.87968863246889e-24,548445.3595742154
30000,1.9883129652585536e-25,576035.6391323584
20000,9.8500498345758e-25,643822.2843761126
80000,4.0135720267505816e-26,648332.0272818821
14000,4.87968863246889e-24,670014.4261160797
50000,1.9883129652585536e-25,711081.367955341
25000,4.425492265785818e-25,754296.0689410556
10000,1.1975660555404538e-22,793220.3551784501
26000,9.8500498345758e-25,802389.3496623477
17000,2.192377162055653e-24,833031.4262627917
21000,9.8500498345758e-25,974773.6062249222
27000,9.8500498345758e-25,1063844.6321496095
12000,2.4173848406597176e-23,1266058.47407947
15000,4.87968863246889e-24,1364410.3458056424
18000,4.87968863246889e-24,1408175.4417318972
22000,9.8500498345758e-25,1433776.388867211
35000,1.9883129652585536e-25,1460387.5992175466
09000,1.1975660555404538e-22,1498409.765896181
60000,8.933217392287712e-26,1680493.1817488505
40000,4.425492265785818e-25,1861474.9473160482
28000,4.425492265785818e-25,1863764.7021932427
23000,9.8500498345758e-25,2058380.7403030845
19000,2.192377162055653e-24,2225739.1039570575
24000,2.192377162055653e-24,2317726.164089974
29000,4.425492265785818e-25,2419421.9382496937
70000,8.933217392287712e-26,2488493.5158172892
11000,5.380500003115066e-23,2629414.98227894
13000,2.4173848406597176e-23,2664113.1302721286
16000,1.0860978467555232e-23,2916671.3573830877
30000,4.425492265785818e-25,3078835.1863022195
20000,2.192377162055653e-24,3427435.854357309
80000,8.933217392287712e-26,3450350.397323762
14000,1.0860978467555232e-23,3561966.475042799
50000,4.425492265785818e-25,3723601.4129057927
25000,9.8500498345758e-25,3993859.523702655
10000,2.665485468919977e-22,4189509.2673853394
26000,2.192377162055653e-24,4196182.393706691
17000,4.87968863246889e-24,4397002.336179583
21000,2.192377162055653e-24,5120796.642269605
27000,2.192377162055653e-24,5523685.710617648
12000,5.380500003115066e-23,6590138.371002375
15000,1.0860978467555232e-23,7103893.314485645
18000,1.0860978467555232e-23,7288847.7002330925
22000,2.192377162055653e-24,7455844.961985089
35000,4.425492265785818e-25,7590760.477927527
09000,2.665485468919977e-22,7753462.115132309
60000,1.9883129652585536e-25,8706648.840749292
40000,9.8500498345758e-25,9550848.081486681
28000,9.8500498345758e-25,9634714.602917453
23000,2.192377162055653e-24,10619193.20232132
19000,4.87968863246889e-24,11465115.431119217
24000,4.87968863246889e-24,11863130.491534224
29000,9.8500498345758e-25,12442813.07389605
70000,1.9883129652585536e-25,12791263.765877549
11000,1.1975660555404538e-22,13494790.345007032
13000,5.380500003115066e-23,13650766.953268334
16000,2.4173848406597176e-23,14907455.477824835
