Te,logg,MH,alpha,sf,chi2
5250,4.5,0.0,0.0,2.0899499249285058e-20,1468.0043755521056
5250,4.0,0.0,0.0,2.0899499249285058e-20,1461.7900511697037
5250,4.5,0.0,0.0,2.0899499249285058e-20,1406.4774629852286
5250,4.5,0.0,0.0,2.0899499249285058e-20,1413.9461715648233
5250,4.5,0.0,0.0,2.0899499249285058e-20,1642.0050257473538
5250,4.5,0.0,0.0,2.0899499249285058e-20,1466.3082687976034
5250,4.5,0.0,0.0,2.0899499249285058e-20,1482.5749939724362
5250,4.5,0.0,0.0,2.0899499249285058e-20,1387.6876625331786
5250,4.5,0.0,0.0,2.0899499249285058e-20,1485.3762579620534
5250,4.5,0.0,0.0,2.0899499249285058e-20,1522.1405478228473
5250,4.5,0.0,0.0,2.0899499249285058e-20,1292.9903609166183
5250,4.5,0.0,0.0,2.0899499249285058e-20,1537.4351657511543
5250,4.5,0.0,0.0,2.0899499249285058e-20,1281.1451241122077
5250,4.5,0.0,0.0,2.0899499249285058e-20,1487.2274204249004
5250,4.5,0.0,0.0,2.0899499249285058e-20,1529.128949929081
5250,4.5,0.0,0.0,2.0899499249285058e-20,1462.694951442967
5250,4.5,0.0,0.0,2.0899499249285058e-20,1507.067722361439
5250,4.5,0.0,0.0,2.0899499249285058e-20,1381.5511994299625
5250,4.5,0.0,0.0,2.0899499249285058e-20,1443.987956997208
5250,4.5,0.0,0.0,2.0899499249285058e-20,1609.6825408509721
5250,4.5,0.0,0.0,2.0899499249285058e-20,1367.5135056277547
5250,4.5,0.0,0.0,2.0899499249285058e-20,1338.142057460734
5250,4.5,0.0,0.0,2.0899499249285058e-20,1350.2860368750023
5250,4.5,0.0,0.0,2.0899499249285058e-20,1348.2058489650135
5250,4.5,0.0,0.0,2.0899499249285058e-20,1655.8630298926778
5250,4.5,0.0,0.0,2.0899499249285058e-20,1560.255255570411
5250,4.5,0.0,0.0,2.0899499249285058e-20,1473.1591568483218
5250,4.5,0.0,0.0,2.0899499249285058e-20,1441.9524654234233
5250,4.5,0.0,0.0,2.0899499249285058e-20,1379.0231959394516
5250,4.5,0.0,0.0,2.0899499249285058e-20,1539.2575129537477
5250,4.5,0.0,0.0,2.0899499249285058e-20,1624.332251866597
